CustomerID,Phone_num,Customer_name,Membership_status
1,750-532-7101,Gare Puffett,true
2,400-761-5814,Nancee Morecombe,true
3,861-226-7055,Denys Kirimaa,true
4,865-320-7468,Wenda McBratney,false
5,795-364-8732,Morena Akroyd,false
6,783-225-1552,Christoffer Canfield,false
7,117-699-3299,Millie Napoli,false
8,477-799-1794,Ada Lineen,false
9,194-235-3207,Juline Hinrichs,true
10,781-339-4405,Bertie Harwin,false
11,656-207-4174,Ricki Pullen,false
12,882-173-5568,Teodoor Soan,false
13,712-546-2521,Peirce Tallman,true
14,476-706-5925,Judie Brazener,true
15,886-543-6235,Zenia Astlett,false
16,205-883-0072,Amory Annear,true
17,901-996-6351,Werner Muzzillo,true
18,107-488-7539,Shayla Dighton,false
19,512-703-4728,Fay Oller,true
20,758-514-6506,Menard Jewks,false
21,558-751-2027,Cthrine McPharlain,true
22,393-969-1747,Lowe Croose,true
23,619-962-5437,Nanny Costanza,false
24,584-874-9236,Stanton Lester,false
25,982-988-0362,Konstanze Barras,true
26,443-399-2643,Romonda Lindfors,false
27,523-146-8974,Hagan Grocott,false
28,308-784-1405,Sofia O'Scanlan,true
29,625-363-4052,Abigael Reddoch,false
30,743-287-6607,Golda Fisk,true
31,698-981-1111,Sherye Ruzek,true
32,511-208-2097,Ramsey Benitti,false
33,190-441-8862,Wait Piddle,true
34,724-300-2357,Margareta Dreye,true
35,633-874-1373,Cristal Verrick,false
36,712-852-8728,Angy Hugnet,true
37,812-292-9322,Juline Dwine,false
38,459-380-8192,Jodi Klees,true
39,959-200-1824,Lanie Vasyunkin,false
40,893-864-4977,Donia McLennan,false
41,427-161-5504,Shayne Atter,true
42,366-179-9121,Bevin Villaret,true
43,510-560-4403,Avictor Scrauniage,true
44,724-607-9488,Humfried Cutten,true
45,870-817-6563,Ulick Sings,true
46,317-544-0085,Rip McLauchlin,true
47,269-730-8013,Nomi Layland,false
48,851-784-0155,Alfredo Bonfield,true
49,165-256-5472,Reuben Spriggen,false
50,609-418-7625,Mariann Heinsh,false
51,590-952-0213,Wenonah Tomlett,true
52,713-990-8300,Dotty Pavitt,false
53,218-360-5974,Bronnie Crooks,false
54,912-219-4047,Estel Costelloe,false
55,551-754-1813,Gabbie Blaxley,false
56,217-314-2751,Rudolf Huzzey,true
57,567-924-0395,Gerta de Vaen,true
58,775-345-5296,Winna Catenot,false
59,592-308-5333,Alberto Fairham,true
60,333-780-5987,Giulio Semon,true
